"Paper_ID","Old_PDF_Path","New_PDF_Path","Old_Note_Path","New_Note_Path","Primary","Secondary"
"50","01_编译阶段排序与强化学习调优/42-AI Powered Compiler Techniques DL. arXiv 2021/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/42-AI Powered Compiler Techniques DL. arXiv 2021/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/50_AI_Powered_Compiler_Techniques_for_DL.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/50_AI_Powered_Compiler_Techniques_for_DL.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"51","01_编译阶段排序与强化学习调优/43-Problem-Oriented Code Optimization. arXiv 2024/paper.pdf","02_LLM_as_Translator/01_Source_Optimization_Refactoring/43-Problem-Oriented Code Optimization. arXiv 2024/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/51_Problem_Oriented_Code_Optimization.md","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/51_Problem_Oriented_Code_Optimization.md","TRANSLATOR","T1_Source_Optimization_Refactoring"
"52","01_编译阶段排序与强化学习调优/44-PerfRL Small LM Code Optimization. arXiv 2025/paper.pdf","02_LLM_as_Translator/01_Source_Optimization_Refactoring/44-PerfRL Small LM Code Optimization. arXiv 2025/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/52_PerfRL_Small_Language_Model_Code_Optimization.md","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/52_PerfRL_Small_Language_Model_Code_Optimization.md","TRANSLATOR","T1_Source_Optimization_Refactoring"
"53","01_编译阶段排序与强化学习调优/45-BenchDirect Directed LM Benchmarks. arXiv 2023/paper.pdf","03_LLM_as_Generator/04_Tool_Test_Fuzz_Generation/45-BenchDirect Directed LM Benchmarks. arXiv 2023/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/53_BenchDirect_Directed_Compiler_Benchmarks.md","文献逐篇阅读/03_LLM_as_Generator/04_Tool_Test_Fuzz_Generation/53_BenchDirect_Directed_Compiler_Benchmarks.md","GENERATOR","G4_Tool_Test_Fuzz_Generation"
"54","01_编译阶段排序与强化学习调优/46-Learning Combine Instructions LLVM. arXiv 2022/paper.pdf","02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/46-Learning Combine Instructions LLVM. arXiv 2022/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/54_Neural_Instruction_Combiner_for_LLVM.md","文献逐篇阅读/02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/54_Neural_Instruction_Combiner_for_LLVM.md","TRANSLATOR","T2_IR_ASM_Optimization_Superoptimization"
"N01","01_编译阶段排序与强化学习调优/07-LLM-vs-Classical-Compilers/paper.pdf","90_Supporting/06_Survey_Evaluation_Methodology/07-LLM-vs-Classical-Compilers/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/N01_Should_AI_Optimize_Your_Code_文献阅读总结.md","文献逐篇阅读/90_Supporting/06_Survey_Evaluation_Methodology/N01_Should_AI_Optimize_Your_Code_文献阅读总结.md","SUPPORTING","B6_Survey_Evaluation_Methodology"
"N02","01_编译阶段排序与强化学习调优/08-LLMs-Energy-Efficient-Code/paper.pdf","02_LLM_as_Translator/01_Source_Optimization_Refactoring/08-LLMs-Energy-Efficient-Code/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/N02_Energy_Efficient_Code_文献阅读总结.md","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/N02_Energy_Efficient_Code_文献阅读总结.md","TRANSLATOR","T1_Source_Optimization_Refactoring"
"C05","01_编译阶段排序与强化学习调优/C05-CITROEN-Phase-Ordering-IPDPS2025/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/C05-CITROEN-Phase-Ordering-IPDPS2025/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C05_CITROEN_文献阅读总结.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C05_CITROEN_文献阅读总结.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"C06","01_编译阶段排序与强化学习调优/C06-AwareCompiler-Agentic-Compiler-Optimization-arXiv2025/paper.pdf","01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/C06-AwareCompiler-Agentic-Compiler-Optimization-arXiv2025/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C06_AwareCompiler_文献阅读总结.md","文献逐篇阅读/01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/C06_AwareCompiler_文献阅读总结.md","SELECTOR","S1_Pass_Phase_Flag_Selection"
"C09","01_编译阶段排序与强化学习调优/C09-ECCO-Causal-Compiler-Optimization-arXiv2026/paper.pdf","01_LLM_as_Selector/03_Search_RL_Policy/C09-ECCO-Causal-Compiler-Optimization-arXiv2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C09_ECCO_Causal_文献阅读总结.md","文献逐篇阅读/01_LLM_as_Selector/03_Search_RL_Policy/C09_ECCO_Causal_文献阅读总结.md","SELECTOR","S3_Search_RL_Policy"
"C10","01_编译阶段排序与强化学习调优/C10-Protean-Fine-Grain-Phase-Ordering-TACO2026/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/C10-Protean-Fine-Grain-Phase-Ordering-TACO2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C10_Protean_文献阅读总结.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C10_Protean_文献阅读总结.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"C22","01_编译阶段排序与强化学习调优/C22-MLIR-RL-CGO2026/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/C22-MLIR-RL-CGO2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C22_MLIR_RL_文献阅读总结.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C22_MLIR_RL_文献阅读总结.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"C24","01_编译阶段排序与强化学习调优/C24-Pearl-Automatic-Code-Optimization-ICS2025/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/C24-Pearl-Automatic-Code-Optimization-ICS2025/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C24_Pearl_Automatic_Code_Optimization_文献阅读总结.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C24_Pearl_Automatic_Code_Optimization_文献阅读总结.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"C25","01_编译阶段排序与强化学习调优/C25-DeCOS-Compiler-Optimization-Selection-ICS2025/paper.pdf","01_LLM_as_Selector/03_Search_RL_Policy/C25-DeCOS-Compiler-Optimization-Selection-ICS2025/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C25_DeCOS_Compiler_Optimization_Selection_文献阅读总结.md","文献逐篇阅读/01_LLM_as_Selector/03_Search_RL_Policy/C25_DeCOS_Compiler_Optimization_Selection_文献阅读总结.md","SELECTOR","S3_Search_RL_Policy"
"C30","01_编译阶段排序与强化学习调优/C30-RACE-PLDI2026/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/C30-RACE-PLDI2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C30_RACE_文献阅读总结.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C30_RACE_文献阅读总结.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"C31","01_编译阶段排序与强化学习调优/C31-Poseidon-CGO2026/paper.pdf","90_Supporting/04_Traditional_ML_Compiler_Optimization/C31-Poseidon-CGO2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C31_Poseidon_文献阅读总结.md","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C31_Poseidon_文献阅读总结.md","SUPPORTING","B4_Traditional_ML_Compiler_Optimization"
"C35","01_编译阶段排序与强化学习调优/C35-AutoPass-2026/paper.pdf","01_LLM_as_Selector/04_Agent_Tool_Action_Selection/C35-AutoPass-2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C35_AutoPass_文献阅读总结.md","文献逐篇阅读/01_LLM_as_Selector/04_Agent_Tool_Action_Selection/C35_AutoPass_文献阅读总结.md","SELECTOR","S4_Agent_Tool_Action_Selection"
"C38","01_编译阶段排序与强化学习调优/C38-LiteCoOp-2026/paper.pdf","01_LLM_as_Selector/02_Schedule_Config_Autotuning/C38-LiteCoOp-2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C38_LiteCoOp_文献阅读总结.md","文献逐篇阅读/01_LLM_as_Selector/02_Schedule_Config_Autotuning/C38_LiteCoOp_文献阅读总结.md","SELECTOR","S2_Schedule_Config_Autotuning"
"04","02_LLM编译优化智能体与反馈驱动/04-Compiler-R1 Towards Agentic Compiler Auto-tuning with Reinforcement Learning. arXiv 2025/paper.pdf","01_LLM_as_Selector/03_Search_RL_Policy/04-Compiler-R1 Towards Agentic Compiler Auto-tuning with Reinforcement Learning. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/04_Compiler_R1_Towards_Agentic_Compiler_Auto_tuning_with_Reinforcement_Le.md","文献逐篇阅读/01_LLM_as_Selector/03_Search_RL_Policy/04_Compiler_R1_Towards_Agentic_Compiler_Auto_tuning_with_Reinforcement_Le.md","SELECTOR","S3_Search_RL_Policy"
"07","02_LLM编译优化智能体与反馈驱动/07-Meta Large Language Model Compiler Foundation Models of Compiler Optimization. arXiv 2024/paper.pdf","90_Supporting/03_LLM_RL_Foundation/07-Meta Large Language Model Compiler Foundation Models of Compiler Optimization. arXiv 2024/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/07_Meta_Large_Language_Model_Compiler_Foundation_Models_of_Compiler_Optim.md","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/07_Meta_Large_Language_Model_Compiler_Foundation_Models_of_Compiler_Optim.md","SUPPORTING","B3_LLM_RL_Foundation"
"08","02_LLM编译优化智能体与反馈驱动/08-Foundation Language Models for Compiler Optimization. 2025/paper.pdf","90_Supporting/03_LLM_RL_Foundation/08-Foundation Language Models for Compiler Optimization. 2025/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/08_Foundation_Language_Models_for_Compiler_Optimization_2025.md","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/08_Foundation_Language_Models_for_Compiler_Optimization_2025.md","SUPPORTING","B3_LLM_RL_Foundation"
"09","02_LLM编译优化智能体与反馈驱动/09-A Survey on the Synergy of LLMs and Compilers. arXiv 2026/paper.pdf","90_Supporting/06_Survey_Evaluation_Methodology/09-A Survey on the Synergy of LLMs and Compilers. arXiv 2026/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/09_A_Survey_on_the_Synergy_of_LLMs_and_Compilers_arXiv_2026.md","文献逐篇阅读/90_Supporting/06_Survey_Evaluation_Methodology/09_A_Survey_on_the_Synergy_of_LLMs_and_Compilers_arXiv_2026.md","SUPPORTING","B6_Survey_Evaluation_Methodology"
"10","02_LLM编译优化智能体与反馈驱动/10-Compiler Optimization via LLM Reasoning for Efficient Model Serving. arXiv 2025/paper.pdf","01_LLM_as_Selector/02_Schedule_Config_Autotuning/10-Compiler Optimization via LLM Reasoning for Efficient Model Serving. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/10_Compiler_Optimization_via_LLM_Reasoning_for_Efficient_Model_Serving_ar.md","文献逐篇阅读/01_LLM_as_Selector/02_Schedule_Config_Autotuning/10_Compiler_Optimization_via_LLM_Reasoning_for_Efficient_Model_Serving_ar.md","SELECTOR","S2_Schedule_Config_Autotuning"
"11","02_LLM编译优化智能体与反馈驱动/11-Agentic Code Optimization via Compiler-LLM Cooperation. arXiv 2026/paper.pdf","02_LLM_as_Translator/01_Source_Optimization_Refactoring/11-Agentic Code Optimization via Compiler-LLM Cooperation. arXiv 2026/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/11_Agentic_Code_Optimization_via_Compiler_LLM_Cooperation_arXiv_2026.md","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/11_Agentic_Code_Optimization_via_Compiler_LLM_Cooperation_arXiv_2026.md","TRANSLATOR","T1_Source_Optimization_Refactoring"
"16","02_LLM编译优化智能体与反馈驱动/16-Beyond Pass-by-Pass Optimization Intent-Driven IR Optimization with Large Language Models. arXi/paper.pdf","02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/16-Beyond Pass-by-Pass Optimization Intent-Driven IR Optimization with Large Language Models. arXi/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/16_Beyond_Pass_by_Pass_Optimization_Intent_Driven_IR_Optimization_with_La.md","文献逐篇阅读/02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/16_Beyond_Pass_by_Pass_Optimization_Intent_Driven_IR_Optimization_with_La.md","TRANSLATOR","T2_IR_ASM_Optimization_Superoptimization"
"38","02_LLM编译优化智能体与反馈驱动/38-Compiler generated feedback for Large Language Models. arXiv 2024/paper.pdf","02_LLM_as_Translator/05_Repair_Compiler_Feedback/38-Compiler generated feedback for Large Language Models. arXiv 2024/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/38_Compiler_generated_feedback_for_Large_Language_Models_arXiv_2024.md","文献逐篇阅读/02_LLM_as_Translator/05_Repair_Compiler_Feedback/38_Compiler_generated_feedback_for_Large_Language_Models_arXiv_2024.md","TRANSLATOR","T5_Repair_Compiler_Feedback"
"40","02_LLM编译优化智能体与反馈驱动/40-VecTrans Enhancing Compiler Auto-Vectorization through LLM-Assisted Code Transformations. arXiv/paper.pdf","02_LLM_as_Translator/01_Source_Optimization_Refactoring/40-VecTrans Enhancing Compiler Auto-Vectorization through LLM-Assisted Code Transformations. arXiv/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/40_VecTrans_Enhancing_Compiler_Auto_Vectorization_through_LLM_Assisted_Co.md","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/40_VecTrans_Enhancing_Compiler_Auto_Vectorization_through_LLM_Assisted_Co.md","TRANSLATOR","T1_Source_Optimization_Refactoring"
"42","02_LLM编译优化智能体与反馈驱动/42-CompilerGPT Leveraging Large Language Models for Analyzing and Acting on Compiler Optimization/paper.pdf","02_LLM_as_Translator/05_Repair_Compiler_Feedback/42-CompilerGPT Leveraging Large Language Models for Analyzing and Acting on Compiler Optimization/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/42_CompilerGPT_Leveraging_Large_Language_Models_for_Analyzing_and_Acting_.md","文献逐篇阅读/02_LLM_as_Translator/05_Repair_Compiler_Feedback/42_CompilerGPT_Leveraging_Large_Language_Models_for_Analyzing_and_Acting_.md","TRANSLATOR","T5_Repair_Compiler_Feedback"
"45","02_LLM编译优化智能体与反馈驱动/16-Beyond Pass-by-Pass Optimization Intent-Driven IR Optimization with Large Language Models. arXi/paper.pdf","02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/16-Beyond Pass-by-Pass Optimization Intent-Driven IR Optimization with Large Language Models. arXi/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/45_Beyond_Pass_by_Pass_Optimization_Intent_Driven_IR_Optimization_with_La.md","文献逐篇阅读/02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/45_Beyond_Pass_by_Pass_Optimization_Intent_Driven_IR_Optimization_with_La.md","TRANSLATOR","T2_IR_ASM_Optimization_Superoptimization"
"55","02_LLM编译优化智能体与反馈驱动/45-Program Synthesis with LLMs. arXiv 2021/paper.pdf","90_Supporting/03_LLM_RL_Foundation/45-Program Synthesis with LLMs. arXiv 2021/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/55_Program_Synthesis_with_Large_Language_Models.md","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/55_Program_Synthesis_with_Large_Language_Models.md","SUPPORTING","B3_LLM_RL_Foundation"
"56","02_LLM编译优化智能体与反馈驱动/46-Learning C to x86 Translation. arXiv 2021/paper.pdf","02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/46-Learning C to x86 Translation. arXiv 2021/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/56_Learning_C_to_x86_Translation.md","文献逐篇阅读/02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/56_Learning_C_to_x86_Translation.md","TRANSLATOR","T3_Translation_CrossLanguage_CrossISA"
"57","02_LLM编译优化智能体与反馈驱动/47-Introducing Compiler Semantics LLMs. EMNLP 2024/paper.pdf","02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/47-Introducing Compiler Semantics LLMs. EMNLP 2024/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/57_Compiler_Semantics_for_C_to_x86_LLMs.md","文献逐篇阅读/02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/57_Compiler_Semantics_for_C_to_x86_LLMs.md","TRANSLATOR","T3_Translation_CrossLanguage_CrossISA"
"58","02_LLM编译优化智能体与反馈驱动/48-LEGO-Compiler Neural Compilation. arXiv 2025/paper.pdf","02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/48-LEGO-Compiler Neural Compilation. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/58_LEGO_Compiler_Composable_Neural_Compilation.md","文献逐篇阅读/02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/58_LEGO_Compiler_Composable_Neural_Compilation.md","TRANSLATOR","T3_Translation_CrossLanguage_CrossISA"
"59","02_LLM编译优化智能体与反馈驱动/49-Rectifier Code Translation LLMs. arXiv 2024/paper.pdf","02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/49-Rectifier Code Translation LLMs. arXiv 2024/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/59_Rectifier_for_Code_Translation.md","文献逐篇阅读/02_LLM_as_Translator/03_Translation_CrossLanguage_CrossISA/59_Rectifier_for_Code_Translation.md","TRANSLATOR","T3_Translation_CrossLanguage_CrossISA"
"60","02_LLM编译优化智能体与反馈驱动/50-Virtual Compiler Assembly Search. ACL 2024/paper.pdf","90_Supporting/03_LLM_RL_Foundation/50-Virtual Compiler Assembly Search. ACL 2024/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/60_Virtual_Compiler_for_Assembly_Search.md","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/60_Virtual_Compiler_for_Assembly_Search.md","SUPPORTING","B3_LLM_RL_Foundation"
"61","02_LLM编译优化智能体与反馈驱动/51-Iterative Refinement Compiler Feedback. ACL 2024/paper.pdf","02_LLM_as_Translator/05_Repair_Compiler_Feedback/51-Iterative Refinement Compiler Feedback. ACL 2024/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/61_COCOGEN_Compiler_Feedback.md","文献逐篇阅读/02_LLM_as_Translator/05_Repair_Compiler_Feedback/61_COCOGEN_Compiler_Feedback.md","TRANSLATOR","T5_Repair_Compiler_Feedback"
"62","02_LLM编译优化智能体与反馈驱动/52-LLM4Decompile Decompiling Binary. EMNLP 2024/paper.pdf","02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/52-LLM4Decompile Decompiling Binary. EMNLP 2024/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/62_LLM4Decompile.md","文献逐篇阅读/02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/62_LLM4Decompile.md","TRANSLATOR","T6_Decompilation_LowLevel_Recovery"
"63","02_LLM编译优化智能体与反馈驱动/53-LMPA Decompilation LLM+Program Analysis. arXiv 2023/paper.pdf","02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/53-LMPA Decompilation LLM+Program Analysis. arXiv 2023/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/63_GENNM_Decompiler_Name_Recovery.md","文献逐篇阅读/02_LLM_as_Translator/06_Decompilation_LowLevel_Recovery/63_GENNM_Decompiler_Name_Recovery.md","TRANSLATOR","T6_Decompilation_LowLevel_Recovery"
"64","02_LLM编译优化智能体与反馈驱动/54-AutoComp LLM Code Opt Tensor. arXiv 2025/paper.pdf","02_LLM_as_Translator/04_GPU_Kernel_Accelerator_Optimization/54-AutoComp LLM Code Opt Tensor. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/64_Autocomp_Tensor_Accelerator_Optimization.md","文献逐篇阅读/02_LLM_as_Translator/04_GPU_Kernel_Accelerator_Optimization/64_Autocomp_Tensor_Accelerator_Optimization.md","TRANSLATOR","T4_GPU_Kernel_Accelerator_Optimization"
"65","02_LLM编译优化智能体与反馈驱动/55-ECO LLM Code Optimizer Warehouse. arXiv 2025/paper.pdf","02_LLM_as_Translator/01_Source_Optimization_Refactoring/55-ECO LLM Code Optimizer Warehouse. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM编译优化智能体与反馈驱动/65_ECO_Warehouse_Scale_Code_Optimizer.md","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/65_ECO_Warehouse_Scale_Code_Optimizer.md","TRANSLATOR","T1_Source_Optimization_Refactoring"
