"Paper_ID","Year","Title","Old_Category","Primary_Category","Secondary_Category","Role","Method","Task","Input_Level","Output_Level","Platform","Feedback","Verification","Benchmark","Tool","Agentic","Priority","Classification_Confidence","Classification_Rationale","Needs_Review","Old_PDF_Path","Old_Note_Path","Proposed_PDF_Path","Proposed_Note_Path"
"50","2021","AI Powered Compiler Techniques for DL Code Optimization","01 编译阶段排序与强化学习调优","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","RL;Search","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","NONE","NONE","NONE","NO","NONE","NO","高","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","01_编译阶段排序与强化学习调优/42-AI Powered Compiler Techniques DL. arXiv 2021/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/50_AI_Powered_Compiler_Techniques_for_DL.md","90_Supporting/04_Traditional_ML_Compiler_Optimization/42-AI Powered Compiler Techniques DL. arXiv 2021/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/50_AI_Powered_Compiler_Techniques_for_DL.md"
"51","2024","A Problem-Oriented Perspective for Code Optimization","01 编译阶段排序与强化学习调优","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","NONE","OPT","SOURCE","SOURCE","NONE","NONE","Functional_Test","NO","NONE","NO","高","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","01_编译阶段排序与强化学习调优/43-Problem-Oriented Code Optimization. arXiv 2024/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/51_Problem_Oriented_Code_Optimization.md","02_LLM_as_Translator/01_Source_Optimization_Refactoring/43-Problem-Oriented Code Optimization. arXiv 2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/51_Problem_Oriented_Code_Optimization.md"
"52","2025","PerfRL: A Small Language Model Framework for Code Optimization","01 编译阶段排序与强化学习调优","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","RL","OPT","SOURCE","SOURCE","NONE","NONE","Functional_Test","YES","NONE","NO","高","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","01_编译阶段排序与强化学习调优/44-PerfRL Small LM Code Optimization. arXiv 2025/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/52_PerfRL_Small_Language_Model_Code_Optimization.md","02_LLM_as_Translator/01_Source_Optimization_Refactoring/44-PerfRL Small LM Code Optimization. arXiv 2025/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/52_PerfRL_Small_Language_Model_Code_Optimization.md"
"53","2023","BenchDirect: A Directed Language Model for Compiler Benchmarks","01 编译阶段排序与强化学习调优","GENERATOR","G4_Tool_Test_Fuzz_Generation","GENERATOR","Search","TESTING;GENERATION","SOURCE;LLVM_IR","SOURCE","NONE","NONE","NONE","YES","NONE","NO","高","HIGH","The model generates reusable compiler-facing test, fuzz, or tooling artifacts, not merely one input instance; therefore its primary compiler role is GENERATOR. Audit evidence: BenchDirect conditionally emits compiler-featured OpenCL benchmark programs that expand a reusable benchmark artifact set.","NO","01_编译阶段排序与强化学习调优/45-BenchDirect Directed LM Benchmarks. arXiv 2023/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/53_BenchDirect_Directed_Compiler_Benchmarks.md","03_LLM_as_Generator/04_Tool_Test_Fuzz_Generation/45-BenchDirect Directed LM Benchmarks. arXiv 2023/paper.pdf","文献逐篇阅读/03_LLM_as_Generator/04_Tool_Test_Fuzz_Generation/53_BenchDirect_Directed_Compiler_Benchmarks.md"
"54","2022","Learning to Combine Instructions in LLVM Compiler","01 编译阶段排序与强化学习调优","TRANSLATOR","T2_IR_ASM_Optimization_Superoptimization","TRANSLATOR_TRANSFORMER","NONE","OPT;VERIFICATION","LLVM_IR;ASM","LLVM_IR;ASM","LLVM","NONE","NONE","YES","LLVM","NO","高","HIGH","The model directly emits optimized IR or assembly; therefore its primary compiler role is TRANSLATOR. Audit evidence: The Transformer encoder–decoder directly maps input LLVM IR to optimized LLVM IR; it is a Translator even though it is not a modern large LLM.","NO","01_编译阶段排序与强化学习调优/46-Learning Combine Instructions LLVM. arXiv 2022/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/54_Neural_Instruction_Combiner_for_LLVM.md","02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/46-Learning Combine Instructions LLVM. arXiv 2022/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/54_Neural_Instruction_Combiner_for_LLVM.md"
"N01","2024","Should AI Optimize Your Code? A Comparative Study of Classical Optimizing Compilers Versus Current Large Language Models","01 编译阶段排序与强化学习调优","SUPPORTING","B6_Survey_Evaluation_Methodology","INFRA_EVALUATOR","Prompting;CoT","ANALYSIS","SOURCE;LLVM_IR","SOURCE;LLVM_IR","GCC","NONE","NONE","NO","NONE","NO","中高","HIGH","The work evaluates or surveys systems rather than proposing one core LM compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","01_编译阶段排序与强化学习调优/07-LLM-vs-Classical-Compilers/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/N01_Should_AI_Optimize_Your_Code_文献阅读总结.md","90_Supporting/06_Survey_Evaluation_Methodology/07-LLM-vs-Classical-Compilers/paper.pdf","文献逐篇阅读/90_Supporting/06_Survey_Evaluation_Methodology/N01_Should_AI_Optimize_Your_Code_文献阅读总结.md"
"N02","2024","Large Language Models for Energy-Efficient Code: Emerging Results and Future Directions","01 编译阶段排序与强化学习调优","TRANSLATOR","T1_Source_Optimization_Refactoring","TRANSLATOR_TRANSFORMER","Prompting;CoT","OPT","SOURCE","SOURCE","NONE","Compiler_Diagnostic","Compiler_Diagnostic","NO","NONE","NO","中","HIGH","The model directly emits transformed source code; therefore its primary compiler role is TRANSLATOR.","NO","01_编译阶段排序与强化学习调优/08-LLMs-Energy-Efficient-Code/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/N02_Energy_Efficient_Code_文献阅读总结.md","02_LLM_as_Translator/01_Source_Optimization_Refactoring/08-LLMs-Energy-Efficient-Code/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/01_Source_Optimization_Refactoring/N02_Energy_Efficient_Code_文献阅读总结.md"
"C05","2025","Leveraging Compilation Statistics for Compiler Phase Ordering","01 编译阶段排序与强化学习调优","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","Profiling","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","LLVM","Runtime;Profiler","Multi_Signal","YES","LLVM","NO","高","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","01_编译阶段排序与强化学习调优/C05-CITROEN-Phase-Ordering-IPDPS2025/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C05_CITROEN_文献阅读总结.md","90_Supporting/04_Traditional_ML_Compiler_Optimization/C05-CITROEN-Phase-Ordering-IPDPS2025/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C05_CITROEN_文献阅读总结.md"
"C06","2025","AwareCompiler: Agentic Context-Aware Compiler Optimization via a Synergistic Knowledge-Data Driven Framework","01 编译阶段排序与强化学习调优","SELECTOR","S1_Pass_Phase_Flag_Selection","SELECTOR_POLICY","SFT;RL;Agent_Tool_Use;Formal_Symbolic;Search","OPT;PASS_ORDERING","LLVM_IR;COMPILER_CONFIG","COMPILER_CONFIG","LLVM","Runtime","NONE","NO","LLVM","YES","高","HIGH","The model selects compiler passes, phases, or flags; therefore its primary compiler role is SELECTOR. Audit evidence: The note explicitly states that the LLM generates a pass sequence and LLVM executes it; this is unambiguously Selector.","NO","01_编译阶段排序与强化学习调优/C06-AwareCompiler-Agentic-Compiler-Optimization-arXiv2025/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C06_AwareCompiler_文献阅读总结.md","01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/C06-AwareCompiler-Agentic-Compiler-Optimization-arXiv2025/paper.pdf","文献逐篇阅读/01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/C06_AwareCompiler_文献阅读总结.md"
"C09","2026","ECCO: Evidence-Driven Causal Reasoning for Compiler Optimization","01 编译阶段排序与强化学习调优","SELECTOR","S3_Search_RL_Policy","SELECTOR_POLICY","SFT;GRPO;CoT;Search","OPT;PASS_ORDERING;AUTOTUNING","LLVM_IR;COMPILER_CONFIG","COMPILER_CONFIG","NONE","NONE","NONE","NO","NONE","NO","高","HIGH","The model outputs a search or optimization policy over existing actions; therefore its primary compiler role is SELECTOR.","NO","01_编译阶段排序与强化学习调优/C09-ECCO-Causal-Compiler-Optimization-arXiv2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C09_ECCO_Causal_文献阅读总结.md","01_LLM_as_Selector/03_Search_RL_Policy/C09-ECCO-Causal-Compiler-Optimization-arXiv2026/paper.pdf","文献逐篇阅读/01_LLM_as_Selector/03_Search_RL_Policy/C09_ECCO_Causal_文献阅读总结.md"
"C10","2026","Protean Compiler: An Agile Framework to Drive Fine-grain Phase Ordering","01 编译阶段排序与强化学习调优","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","Search","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","LLVM","Runtime","Runtime","NO","LLVM","NO","高","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","01_编译阶段排序与强化学习调优/C10-Protean-Fine-Grain-Phase-Ordering-TACO2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C10_Protean_文献阅读总结.md","90_Supporting/04_Traditional_ML_Compiler_Optimization/C10-Protean-Fine-Grain-Phase-Ordering-TACO2026/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C10_Protean_文献阅读总结.md"
"C22","2024","A Reinforcement Learning Environment for Automatic Code Optimization in the MLIR Compiler","01 编译阶段排序与强化学习调优","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","RL;PPO","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","LLVM","NONE","NONE","NO","MLIR;LLVM","NO","高","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","01_编译阶段排序与强化学习调优/C22-MLIR-RL-CGO2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C22_MLIR_RL_文献阅读总结.md","90_Supporting/04_Traditional_ML_Compiler_Optimization/C22-MLIR-RL-CGO2026/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C22_MLIR_RL_文献阅读总结.md"
"C24","2025","Pearl: Automatic Code Optimization Using Deep Reinforcement Learning","01 编译阶段排序与强化学习调优","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","SFT;RL;PPO","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","NONE","NONE","NONE","NO","NONE","NO","高","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","01_编译阶段排序与强化学习调优/C24-Pearl-Automatic-Code-Optimization-ICS2025/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C24_Pearl_Automatic_Code_Optimization_文献阅读总结.md","90_Supporting/04_Traditional_ML_Compiler_Optimization/C24-Pearl-Automatic-Code-Optimization-ICS2025/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C24_Pearl_Automatic_Code_Optimization_文献阅读总结.md"
"C25","2025","DeCOS: Data-Efficient Reinforcement Learning for Compiler Optimization Selection Ignited by LLM","01 编译阶段排序与强化学习调优","SELECTOR","S3_Search_RL_Policy","SELECTOR_POLICY","SFT;RL;GRPO;PPO;Profiling;Synthetic_Data;Search","OPT;PASS_ORDERING;AUTOTUNING","LLVM_IR;COMPILER_CONFIG","COMPILER_CONFIG","LLVM","Profiler","Profiler","YES","LLVM","NO","高","HIGH","The model outputs a search or optimization policy over existing actions; therefore its primary compiler role is SELECTOR.","NO","01_编译阶段排序与强化学习调优/C25-DeCOS-Compiler-Optimization-Selection-ICS2025/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C25_DeCOS_Compiler_Optimization_Selection_文献阅读总结.md","01_LLM_as_Selector/03_Search_RL_Policy/C25-DeCOS-Compiler-Optimization-Selection-ICS2025/paper.pdf","文献逐篇阅读/01_LLM_as_Selector/03_Search_RL_Policy/C25_DeCOS_Compiler_Optimization_Selection_文献阅读总结.md"
"C30","2026","Redundant Array Computation Elimination","01 编译阶段排序与强化学习调优","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","RL;Search;Static_Analysis","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","LLVM","NONE","Static_Analysis","NO","LLVM","NO","高","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","01_编译阶段排序与强化学习调优/C30-RACE-PLDI2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C30_RACE_文献阅读总结.md","90_Supporting/04_Traditional_ML_Compiler_Optimization/C30-RACE-PLDI2026/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C30_RACE_文献阅读总结.md"
"C31","2026","Thinking Fast and Correct: Automated Rewriting of Numerical Code through Compiler Augmentation","01 编译阶段排序与强化学习调优","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","SFT;RL;Search;Profiling","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","LLVM","Profiler","Profiler","NO","MLIR;LLVM","NO","高","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","01_编译阶段排序与强化学习调优/C31-Poseidon-CGO2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C31_Poseidon_文献阅读总结.md","90_Supporting/04_Traditional_ML_Compiler_Optimization/C31-Poseidon-CGO2026/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/C31_Poseidon_文献阅读总结.md"
"C35","2026","AutoPass: Evidence-Guided LLM Agents for Compiler Performance Tuning","01 编译阶段排序与强化学习调优","SELECTOR","S4_Agent_Tool_Action_Selection","AGENT_ORCHESTRATOR;SELECTOR_POLICY","SFT;RL;Agent_Tool_Use;Training_Free;Search","OPT;ANALYSIS","SOURCE;LLVM_IR;COMPILER_CONFIG","COMPILER_CONFIG","LLVM","Runtime","Runtime","YES","LLVM","YES","高","HIGH","The model chooses compiler/tool actions while external tools perform transformations; therefore its primary compiler role is SELECTOR.","NO","01_编译阶段排序与强化学习调优/C35-AutoPass-2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C35_AutoPass_文献阅读总结.md","01_LLM_as_Selector/04_Agent_Tool_Action_Selection/C35-AutoPass-2026/paper.pdf","文献逐篇阅读/01_LLM_as_Selector/04_Agent_Tool_Action_Selection/C35_AutoPass_文献阅读总结.md"
"C38","2026","LiteCoOp: Lightweight Multi-LLM Shared-Tree Reasoning for Model-Serving Compiler Optimizations","01 编译阶段排序与强化学习调优","SELECTOR","S2_Schedule_Config_Autotuning","SELECTOR_POLICY","SFT;RL;GRPO;PPO;Search;MCTS","AUTOTUNING;OPT","LLVM_IR;HW_CONFIG","COMPILER_CONFIG","GPU","NONE","NONE","NO","TVM","NO","中高","HIGH","The model selects a schedule, configuration, or autotuning setting; therefore its primary compiler role is SELECTOR.","NO","01_编译阶段排序与强化学习调优/C38-LiteCoOp-2026/paper.pdf","文献逐篇阅读/01_编译阶段排序与强化学习调优/C38_LiteCoOp_文献阅读总结.md","01_LLM_as_Selector/02_Schedule_Config_Autotuning/C38-LiteCoOp-2026/paper.pdf","文献逐篇阅读/01_LLM_as_Selector/02_Schedule_Config_Autotuning/C38_LiteCoOp_文献阅读总结.md"
